Id_hp,Nama_hp,Brand,Harga,Ram,Memori_internal,Ukuran_layar,Resolusi_kamera,Kapasitas_baterai,Os,Rating_pengguna,Tahun_rilis,Stok_tersedia
70,Apple Pro 7,Apple,10794912,6,128,5.5,108MP,6000,iOS,1.9,6/22/2020,TRUE
71,Apple Ultra 10,Apple,14193353,16,512,6.8,48MP,4000,iOS,3.2,2/3/2021,FALSE
72,Apple Ultra 10,Apple,13824991,12,256,6.4,12MP,5000,iOS,3.5,5/17/2022,FALSE
73,Apple Ultra 11,Apple,6943201,8,128,6.1,64MP,6000,iOS,2,3/13/2022,FALSE
74,Apple Ultra 12,Apple,1640837,8,256,6.1,108MP,5000,iOS,3,7/7/2021,TRUE
75,Apple Ultra 12,Apple,3955206,6,64,6.1,108MP,5000,iOS,2.5,7/12/2023,FALSE
76,Apple Ultra 13,Apple,11449582,4,64,6.7,12MP,5000,iOS,1.8,5/6/2022,TRUE
77,Apple Ultra 14,Apple,12717545,4,64,6.1,64MP,6000,iOS,2.3,7/21/2019,TRUE
78,Apple Ultra 14,Apple,20525361,16,256,5.5,48MP,6000,iOS,3.6,1/29/2022,FALSE
79,Apple Ultra 17,Apple,5641772,6,64,6.7,48MP,6000,iOS,4.2,3/25/2020,FALSE
80,Apple Ultra 17,Apple,3195589,12,64,6.7,108MP,4500,iOS,4.5,9/7/2019,FALSE
81,Apple Ultra 18,Apple,17844033,6,64,6.8,12MP,5000,iOS,1.3,1/14/2023,TRUE
82,Apple Ultra 18,Apple,14163933,4,128,6.1,108MP,5000,iOS,4.5,1/21/2024,FALSE
83,Apple Ultra 18,Apple,7495284,12,256,6.1,108MP,4500,iOS,4.4,11/11/2019,FALSE
84,Apple Ultra 19,Apple,18328430,6,64,5.5,108MP,6000,iOS,1.9,4/12/2024,FALSE
85,Apple Ultra 19,Apple,16876410,12,512,6.5,12MP,4000,iOS,1.7,7/30/2023,TRUE
86,Apple Ultra 19,Apple,6072521,8,64,6.5,48MP,5000,iOS,3,5/24/2024,FALSE
87,Apple Ultra 20,Apple,4937180,4,64,6.5,48MP,4000,iOS,2.8,2/20/2020,FALSE
88,Apple Ultra 25,Apple,10282576,6,512,6.8,48MP,4500,iOS,2,4/6/2022,TRUE
89,Apple Ultra 25,Apple,23567108,12,512,5.5,108MP,4500,iOS,4.5,12/4/2019,FALSE
90,Apple Ultra 25,Apple,18749053,12,256,5.5,108MP,6000,iOS,4.2,9/27/2019,FALSE
91,Apple Ultra 27,Apple,8204432,16,512,6.7,12MP,5000,iOS,1.9,10/29/2020,FALSE
92,Apple Ultra 27,Apple,6860716,16,256,6.1,108MP,4500,iOS,1.3,2/24/2024,FALSE
93,Apple Ultra 28,Apple,21198658,8,64,6.4,12MP,4500,iOS,1.3,10/26/2019,TRUE
94,Apple Ultra 6,Apple,2908243,12,256,5.5,12MP,4000,iOS,3.6,5/23/2024,TRUE
95,Apple Ultra 8,Apple,19208177,4,512,6.8,64MP,6000,iOS,2.5,2/28/2024,FALSE
96,Apple Ultra 9,Apple,19607857,8,256,5.5,64MP,5000,iOS,2.2,2/24/2020,TRUE
97,Asus Max 10,Asus,8958779,6,256,5.5,50MP,5000,Android,2.7,5/9/2020,FALSE
98,Asus Max 10,Asus,3889741,12,512,6.1,48MP,5000,Android,3.2,5/27/2022,TRUE
99,Asus Max 13,Asus,19945806,8,256,6.4,108MP,4000,Android,1.1,12/11/2023,TRUE
100,Asus Max 13,Asus,8002176,6,128,6.7,108MP,4000,Android,4,9/14/2019,TRUE
101,Asus Max 14,Asus,24416327,8,128,6.4,108MP,4500,Android,1.3,8/25/2021,TRUE
102,Asus Max 14,Asus,20561462,12,512,6.5,64MP,4000,Android,4.3,2/18/2024,FALSE
103,Asus Max 14,Asus,7832381,12,512,6.4,108MP,5000,Android,2.7,2/16/2023,FALSE
104,Asus Max 15,Asus,11140337,16,512,6.5,12MP,4000,Android,4.2,8/21/2022,FALSE
105,Asus Max 17,Asus,7322020,16,256,6.7,108MP,4500,Android,3.3,12/12/2022,TRUE
106,Asus Max 17,Asus,8868509,4,512,6.4,48MP,4500,Android,2.1,7/19/2023,TRUE
107,Asus Max 18,Asus,6433219,4,512,6.7,50MP,4000,Android,2.3,5/1/2023,TRUE
108,Asus Max 20,Asus,24582307,6,128,6.5,12MP,4500,Android,1.1,12/8/2020,FALSE
109,Asus Max 21,Asus,16332991,8,512,5.5,64MP,6000,Android,3.7,4/5/2023,FALSE
110,Asus Max 23,Asus,18395227,4,128,6.4,12MP,5000,Android,3.3,3/19/2020,FALSE
111,Asus Max 23,Asus,15531434,4,512,6.8,50MP,5000,Android,2.5,2/28/2020,TRUE
112,Asus Max 24,Asus,6967591,16,512,6.1,108MP,6000,Android,2.9,7/10/2020,FALSE
113,Asus Max 26,Asus,17959493,4,256,6.4,50MP,5000,Android,2.2,2/7/2022,FALSE
114,Asus Max 28,Asus,17543754,12,64,6.4,12MP,4000,Android,1,2/2/2020,TRUE
115,Asus Max 29,Asus,10698492,16,512,6.7,50MP,5000,Android,2.2,3/27/2024,TRUE
116,Asus Max 29,Asus,4333907,12,64,6.5,50MP,5000,Android,2,5/24/2023,TRUE
117,Asus Max 30,Asus,17589896,6,64,6.7,48MP,4500,Android,4.5,4/28/2024,FALSE
118,Asus Max 30,Asus,7866160,8,512,6.4,12MP,4500,Android,3.8,8/11/2020,FALSE
119,Asus Max 5,Asus,19179698,12,256,6.4,50MP,5000,Android,1.3,4/2/2024,FALSE
120,Asus Max 6,Asus,14180257,8,256,6.4,50MP,4500,Android,3.7,11/3/2019,TRUE
121,Asus Max 7,Asus,16258773,4,64,6.1,12MP,6000,Android,2.9,5/8/2024,TRUE
122,Asus Max 8,Asus,10383320,16,256,6.8,50MP,5000,Android,4.4,5/22/2020,TRUE
123,Asus Max 8,Asus,6152007,8,64,6.8,48MP,6000,Android,4.4,8/22/2023,TRUE
124,Asus Max 9,Asus,22902608,16,256,6.1,64MP,4000,Android,2.9,5/2/2021,FALSE
125,Asus Max 9,Asus,20334530,6,512,6.4,50MP,5000,Android,4.9,2/10/2019,FALSE
126,Asus Max 9,Asus,4438166,12,128,5.5,12MP,6000,Android,3.3,5/17/2023,FALSE
127,Asus Max 9,Asus,8838953,16,128,6.4,48MP,4500,Android,1.4,5/21/2020,FALSE
128,Asus Note 11,Asus,22055924,6,64,6.1,108MP,4500,Android,1.8,8/2/2022,TRUE
129,Asus Note 12,Asus,7273202,4,64,6.1,50MP,4000,Android,1.5,6/13/2023,TRUE
130,Asus Note 12,Asus,4655928,16,128,6.5,12MP,4500,Android,4.1,5/11/2023,FALSE
131,Asus Note 13,Asus,23768423,8,64,5.5,50MP,4000,Android,2.5,10/7/2020,TRUE
132,Asus Note 14,Asus,13563255,8,256,6.1,64MP,4500,Android,4.6,10/23/2022,TRUE
133,Asus Note 14,Asus,11846718,6,128,6.4,64MP,4000,Android,4.9,7/22/2020,TRUE
134,Asus Note 15,Asus,8042556,16,256,6.1,108MP,4000,Android,4.4,10/11/2022,TRUE
135,Asus Note 16,Asus,2387778,4,256,6.1,50MP,4500,Android,3.3,4/20/2020,TRUE
136,Asus Note 16,Asus,17504991,4,64,5.5,50MP,5000,Android,1.3,6/15/2019,FALSE
137,Asus Note 17,Asus,13228493,16,64,5.5,12MP,4000,Android,2.1,7/22/2023,TRUE
138,Asus Note 18,Asus,19703490,16,64,6.8,12MP,4500,Android,4.3,5/14/2020,FALSE
139,Asus Note 19,Asus,21723060,6,128,6.8,64MP,6000,Android,2.9,10/18/2021,FALSE
140,Asus Note 19,Asus,7128044,12,64,5.5,108MP,6000,Android,1.2,12/10/2020,TRUE
141,Asus Note 21,Asus,16614117,6,256,6.1,50MP,4500,Android,3,11/24/2022,TRUE
142,Asus Note 23,Asus,13093582,16,256,6.5,12MP,4000,Android,2.8,9/16/2023,TRUE
143,Asus Note 23,Asus,6674769,12,128,6.5,108MP,5000,Android,3.5,9/25/2022,FALSE
144,Asus Note 24,Asus,10813650,12,128,6.4,12MP,5000,Android,3.9,3/11/2021,TRUE
145,Asus Note 25,Asus,12357707,8,256,6.7,48MP,4000,Android,1.2,8/23/2020,TRUE
146,Asus Note 27,Asus,7344103,8,256,6.1,50MP,5000,Android,1.9,2/17/2019,FALSE
147,Asus Note 28,Asus,11213849,16,512,5.5,64MP,4500,Android,2.4,3/24/2020,FALSE
148,Asus Note 30,Asus,18481957,12,512,6.5,108MP,5000,Android,4.1,7/19/2021,TRUE
149,Asus Note 6,Asus,15160268,8,64,6.7,12MP,5000,Android,4.6,5/1/2019,TRUE
150,Asus Note 6,Asus,15515142,8,512,6.8,50MP,4500,Android,3.2,5/19/2021,TRUE
151,Asus Note 7,Asus,17642366,6,512,6.8,108MP,5000,Android,4.3,12/31/2022,TRUE
152,Asus Note 9,Asus,10226485,8,256,5.5,108MP,5000,Android,4.5,8/18/2019,TRUE
153,Asus Pro 10,Asus,8909174,12,64,6.5,48MP,5000,Android,3.9,7/29/2021,TRUE
154,Asus Pro 10,Asus,11180445,6,128,5.5,48MP,4000,Android,1.6,8/8/2020,TRUE
155,Asus Pro 11,Asus,17343299,4,128,6.7,64MP,4000,Android,1.1,11/2/2019,FALSE
156,Asus Pro 12,Asus,2191706,6,64,6.1,64MP,4500,Android,4.3,1/29/2020,TRUE
157,Asus Pro 13,Asus,15527658,4,64,6.1,48MP,4500,Android,1.6,10/21/2021,FALSE
158,Asus Pro 16,Asus,14809339,12,256,6.4,12MP,6000,Android,4.9,2/15/2023,TRUE
159,Asus Pro 17,Asus,2655950,12,256,6.7,12MP,6000,Android,4.4,9/10/2023,TRUE
160,Asus Pro 18,Asus,21469645,4,512,6.5,108MP,6000,Android,3.2,4/27/2023,FALSE
161,Asus Pro 18,Asus,14964658,12,512,6.1,48MP,5000,Android,1.5,11/6/2021,TRUE
162,Asus Pro 18,Asus,6413894,8,512,6.4,108MP,5000,Android,3.1,6/28/2023,FALSE
163,Asus Pro 19,Asus,9894258,16,64,5.5,64MP,6000,Android,4.8,3/20/2022,FALSE
164,Asus Pro 19,Asus,19300084,16,64,6.1,12MP,6000,Android,1.6,5/1/2020,FALSE
165,Asus Pro 19,Asus,10332412,12,256,6.1,50MP,4500,Android,1.1,1/14/2020,TRUE
166,Asus Pro 19,Asus,24424506,6,256,6.8,50MP,6000,Android,1.6,3/24/2019,FALSE
167,Asus Pro 19,Asus,6296609,4,64,6.1,108MP,4000,Android,1.8,4/4/2024,FALSE
168,Asus Pro 21,Asus,12660513,6,64,5.5,64MP,4500,Android,1.3,10/21/2021,TRUE
169,Asus Pro 22,Asus,20573424,8,128,6.1,50MP,4500,Android,3.9,5/30/2019,FALSE
170,Asus Pro 22,Asus,16569886,6,512,6.1,64MP,5000,Android,5,1/24/2023,TRUE
171,Asus Pro 23,Asus,11669763,12,64,6.7,48MP,6000,Android,3.6,9/3/2023,TRUE
172,Asus Pro 24,Asus,14716471,16,128,6.8,12MP,4000,Android,1,11/4/2023,FALSE
173,Asus Pro 25,Asus,2613823,8,256,6.1,108MP,5000,Android,3.3,1/25/2021,FALSE
174,Asus Pro 25,Asus,9298992,8,128,6.4,108MP,5000,Android,2.3,12/3/2021,FALSE
175,Asus Pro 27,Asus,16955640,8,512,6.1,48MP,4000,Android,1,1/1/2024,TRUE
176,Asus Pro 30,Asus,3597207,6,256,6.1,12MP,4000,Android,3.8,8/22/2023,FALSE
177,Asus Pro 30,Asus,22662403,12,256,6.7,50MP,4500,Android,3.8,5/3/2024,TRUE
178,Asus Pro 5,Asus,12877788,8,256,6.7,108MP,4500,Android,4.5,9/13/2022,TRUE
179,Asus Pro 5,Asus,4156483,6,256,6.4,48MP,4500,Android,2.6,8/2/2023,FALSE
180,Asus Pro 6,Asus,22621182,8,512,6.8,50MP,4000,Android,1,7/12/2019,TRUE
181,Asus Pro 6,Asus,3822569,8,128,5.5,50MP,6000,Android,3.3,3/20/2021,FALSE
182,Asus Pro 7,Asus,9436982,4,256,6.4,64MP,5000,Android,4.7,1/23/2020,TRUE
183,Asus Pro 8,Asus,22902837,6,256,6.1,50MP,4000,Android,2.3,3/22/2022,FALSE
184,Asus Pro 9,Asus,1916622,12,256,6.8,50MP,4500,Android,2.9,7/29/2022,FALSE
185,Asus Ultra 11,Asus,23911297,12,128,5.5,48MP,4500,Android,3.1,10/3/2021,TRUE
186,Asus Ultra 11,Asus,18559606,4,512,6.1,108MP,4000,Android,3.7,8/18/2021,TRUE
187,Asus Ultra 12,Asus,16498244,16,64,5.5,50MP,4000,Android,4.9,9/30/2023,TRUE
188,Asus Ultra 12,Asus,18444839,4,512,6.4,64MP,4000,Android,4.7,1/23/2023,FALSE
189,Asus Ultra 14,Asus,11840477,4,64,6.8,12MP,6000,Android,2.3,4/8/2023,FALSE
190,Asus Ultra 15,Asus,9837235,16,256,6.8,108MP,6000,Android,2.9,11/16/2022,TRUE
191,Asus Ultra 15,Asus,16493217,6,256,6.1,64MP,4500,Android,3.8,3/10/2019,FALSE
192,Asus Ultra 16,Asus,4320043,4,512,6.8,12MP,4000,Android,4.6,2/22/2020,FALSE
193,Asus Ultra 16,Asus,14889490,4,256,6.5,12MP,6000,Android,2.6,12/31/2021,TRUE
194,Asus Ultra 16,Asus,3844843,4,256,6.7,108MP,5000,Android,1.6,1/30/2021,TRUE
195,Asus Ultra 17,Asus,13673909,8,128,6.1,64MP,4000,Android,3.4,9/25/2019,FALSE
196,Asus Ultra 17,Asus,2308865,16,128,5.5,108MP,4000,Android,1.7,6/23/2024,FALSE
197,Asus Ultra 18,Asus,10306152,6,64,6.7,108MP,4000,Android,2,8/28/2020,FALSE
198,Asus Ultra 19,Asus,3615265,8,256,5.5,64MP,5000,Android,2.8,2/6/2021,FALSE
199,Asus Ultra 19,Asus,15792442,12,256,6.1,12MP,4000,Android,1.6,5/18/2019,TRUE
200,Asus Ultra 20,Asus,5657669,12,256,6.1,64MP,4000,Android,4.4,1/8/2020,TRUE
201,Asus Ultra 23,Asus,19774766,6,128,6.7,48MP,4000,Android,4.7,3/12/2024,FALSE
202,Asus Ultra 25,Asus,24196492,8,128,6.4,50MP,5000,Android,4.8,2/14/2022,FALSE
203,Asus Ultra 26,Asus,2757041,16,512,6.5,50MP,5000,Android,4.7,4/22/2022,FALSE
204,Asus Ultra 27,Asus,15530082,16,256,6.1,108MP,4000,Android,2.8,12/30/2022,FALSE
205,Asus Ultra 28,Asus,13922313,4,256,6.7,108MP,5000,Android,2.8,6/5/2019,TRUE
206,Asus Ultra 28,Asus,21095525,12,64,6.1,108MP,5000,Android,1.4,9/29/2021,FALSE
207,Asus Ultra 29,Asus,11572748,6,128,6.4,12MP,4000,Android,1.7,11/18/2020,FALSE
208,Asus Ultra 30,Asus,5323457,6,256,6.5,108MP,5000,Android,1.9,9/12/2020,TRUE
209,Asus Ultra 6,Asus,14913761,4,128,6.8,108MP,6000,Android,3.3,9/11/2021,FALSE
210,Asus Ultra 7,Asus,16742071,16,256,6.7,50MP,4500,Android,3.2,6/20/2019,TRUE
211,Asus Ultra 7,Asus,2978905,16,256,6.4,108MP,4500,Android,4.7,4/11/2022,TRUE
212,Asus Ultra 7,Asus,12949223,6,128,6.7,12MP,6000,Android,4.3,5/11/2020,FALSE
213,Asus Ultra 8,Asus,9950866,12,256,6.4,12MP,5000,Android,2.4,11/27/2023,FALSE
214,Asus Ultra 9,Asus,10129005,12,256,6.4,48MP,4500,Android,4.1,1/16/2022,TRUE
215,Huawei Max 10,Huawei,14677856,8,128,6.1,48MP,4000,Android,1,6/24/2023,TRUE
216,Huawei Max 13,Huawei,6737009,12,128,5.5,108MP,4000,Android,3.2,5/22/2024,TRUE
217,Huawei Max 13,Huawei,8398506,12,64,6.4,48MP,4000,Android,1.4,11/2/2020,FALSE
218,Huawei Max 14,Huawei,7550312,16,128,6.8,50MP,4500,Android,1.3,1/16/2023,TRUE
219,Huawei Max 14,Huawei,12940396,12,256,6.1,48MP,4000,Android,4.5,5/30/2020,FALSE
220,Huawei Max 15,Huawei,5023372,6,512,6.1,50MP,5000,Android,4.4,9/30/2021,TRUE
221,Huawei Max 15,Huawei,18325530,4,256,6.5,50MP,4000,Android,1.5,6/28/2021,TRUE
222,Huawei Max 16,Huawei,8163221,4,256,6.7,64MP,6000,Android,2.5,8/14/2023,TRUE
223,Huawei Max 17,Huawei,11114640,16,512,6.8,48MP,5000,Android,2.6,7/27/2020,TRUE
224,Huawei Max 18,Huawei,6301481,8,256,6.1,50MP,5000,Android,3,12/23/2023,FALSE
225,Huawei Max 19,Huawei,8127814,16,256,6.1,50MP,6000,Android,2.8,3/11/2019,FALSE
226,Huawei Max 20,Huawei,10777097,4,512,5.5,108MP,4500,Android,1.6,12/4/2023,FALSE
227,Huawei Max 23,Huawei,10368952,4,64,6.1,108MP,4500,Android,3.7,2/27/2020,FALSE
228,Huawei Max 24,Huawei,3352934,4,128,5.5,12MP,6000,Android,3,10/8/2019,TRUE
229,Huawei Max 24,Huawei,19250657,4,128,6.8,64MP,4500,Android,3.5,11/15/2020,FALSE
230,Huawei Max 25,Huawei,5716377,12,512,6.5,12MP,5000,Android,4,5/28/2023,FALSE
231,Huawei Max 25,Huawei,19022486,8,512,5.5,48MP,4500,Android,2.1,9/3/2023,TRUE
232,Huawei Max 26,Huawei,8428596,12,64,6.1,108MP,4000,Android,2.3,4/17/2024,FALSE
233,Huawei Max 27,Huawei,21976797,4,64,6.7,64MP,6000,Android,1.9,8/13/2023,FALSE
234,Huawei Max 27,Huawei,16040201,8,128,6.7,64MP,5000,Android,3.2,10/31/2019,TRUE
235,Huawei Max 29,Huawei,23834216,4,128,6.8,64MP,6000,Android,1.2,12/15/2019,FALSE
236,Huawei Max 30,Huawei,4640930,6,64,6.4,48MP,6000,Android,1.6,5/16/2020,FALSE
237,Huawei Max 5,Huawei,19533545,16,512,6.8,48MP,4500,Android,3.3,12/27/2023,TRUE
238,Huawei Max 5,Huawei,14935101,8,512,6.7,64MP,6000,Android,1.3,11/26/2022,TRUE
239,Huawei Max 5,Huawei,24023664,4,512,6.5,108MP,4000,Android,2.9,8/29/2021,TRUE
240,Huawei Max 6,Huawei,4136130,8,512,6.8,108MP,4000,Android,4.2,2/14/2024,TRUE
241,Huawei Max 6,Huawei,12924483,12,256,6.4,50MP,4500,Android,3.5,9/30/2019,FALSE
242,Huawei Max 7,Huawei,5892151,8,128,6.1,64MP,6000,Android,3,12/9/2019,FALSE
243,Huawei Max 8,Huawei,23542315,4,512,6.8,48MP,4000,Android,1.9,7/25/2023,TRUE
244,Huawei Max 9,Huawei,17697430,6,128,6.1,12MP,4500,Android,3,6/24/2023,FALSE
245,Huawei Note 20,Huawei,8102610,4,64,6.8,108MP,5000,Android,4.2,7/13/2019,FALSE
246,Huawei Note 20,Huawei,23465181,4,512,6.5,50MP,4500,Android,3.5,5/31/2021,TRUE
247,Huawei Note 22,Huawei,9153014,4,256,6.4,50MP,5000,Android,3.1,7/9/2020,FALSE
248,Huawei Note 24,Huawei,17007389,8,64,6.1,64MP,5000,Android,3.4,2/20/2022,FALSE
249,Huawei Note 24,Huawei,11222637,6,64,6.4,50MP,4000,Android,2.8,7/8/2023,TRUE
250,Huawei Note 24,Huawei,11670588,4,64,5.5,64MP,4500,Android,3,11/8/2021,FALSE
251,Huawei Note 25,Huawei,5633706,8,64,6.1,108MP,4000,Android,4.1,5/6/2019,TRUE
252,Huawei Note 26,Huawei,10663808,8,512,6.1,50MP,5000,Android,1.3,1/20/2019,FALSE
253,Huawei Note 26,Huawei,9695857,12,64,6.4,108MP,4500,Android,5,4/27/2020,FALSE
254,Huawei Note 30,Huawei,9550982,12,512,6.1,64MP,6000,Android,3.4,7/13/2019,TRUE
255,Huawei Note 6,Huawei,13416884,8,512,6.8,12MP,5000,Android,4.4,10/21/2019,FALSE
256,Huawei Note 6,Huawei,8413470,8,128,6.4,50MP,4000,Android,4.5,8/17/2021,TRUE
257,Huawei Note 7,Huawei,24605267,12,512,6.7,48MP,4000,Android,2.5,2/27/2020,TRUE
258,Huawei Note 7,Huawei,13281586,4,64,6.7,64MP,5000,Android,1.4,4/10/2019,TRUE
259,Huawei Note 7,Huawei,11475670,12,64,6.8,12MP,5000,Android,2.8,3/9/2019,FALSE
